name,mpg,cylinders,horse_power,weight,acceleration,year,country,displacement
Chevrolet Chevelle Malibu,18.0,8,130,3504,12.0,1970,USA,7.0
Buick Skylark 320,15.0,8,165,3693,11.5,1970,USA,0.0
Plymouth Satellite,18.0,8,150,3436,11.0,1970,USA,8.0
Amc Rebel Sst,16.0,8,150,3433,12.0,1970,USA,4.0
Ford Torino,17.0,8,140,3449,10.5,1970,USA,2.0
Ford Galaxie 500,15.0,8,198,4341,10.0,1970,USA,9.0
Chevrolet Impala,14.0,8,220,4354,9.0,1970,USA,4.0
Plymouth Fury Iii,14.0,8,215,4312,8.5,1970,USA,0.0
Pontiac Catalina,14.0,8,225,4425,10.0,1970,USA,5.0
Amc Ambassador Dpl,15.0,8,190,3850,8.5,1970,USA,0.0
Citroen Ds-21 Pallas,NULL,4,115,3090,17.5,1970,Europe,3.0
Chevrolet Chevelle Concours (Sw),NULL,8,165,4142,11.5,1970,USA,0.0
Ford Torino (Sw),NULL,8,153,4034,11.0,1970,USA,1.0
Plymouth Satellite (Sw),NULL,8,175,4166,10.5,1970,USA,3.0
Amc Rebel Sst (Sw),NULL,8,175,3850,11.0,1970,USA,0.0
Dodge Challenger Se,15.0,8,170,3563,10.0,1970,USA,3.0
Plymouth 'Cuda 340,14.0,8,160,3609,8.0,1970,USA,0.0
Ford Mustang Boss 302,NULL,8,140,3353,8.0,1970,USA,2.0
Chevrolet Monte Carlo,15.0,8,150,3761,9.5,1970,USA,0.0
Buick Estate Wagon (Sw),14.0,8,225,3086,10.0,1970,USA,5.0
Toyota Corona Mark Ii,24.0,4,95,2372,15.0,1970,Japan,3.0
Plymouth Duster,22.0,6,95,2833,15.5,1970,USA,8.0
Amc Hornet,18.0,6,97,2774,15.5,1970,USA,9.0
Ford Maverick,21.0,6,85,2587,16.0,1970,USA,0.0
Datsun Pl510,27.0,4,88,2130,14.5,1970,Japan,7.0
Volkswagen 1131 Deluxe Sedan,26.0,4,46,1835,20.5,1970,Europe,7.0
Peugeot 504,25.0,4,87,2672,17.5,1970,Europe,0.0
Audi 100 Ls,24.0,4,90,2430,14.5,1970,Europe,7.0
Saab 99E,25.0,4,95,2375,17.5,1970,Europe,4.0
Bmw 2002,26.0,4,113,2234,12.5,1970,Europe,1.0
Amc Gremlin,21.0,6,90,2648,15.0,1970,USA,9.0
Ford F250,10.0,8,215,4615,14.0,1970,USA,0.0
Chevy C20,10.0,8,200,4376,15.0,1970,USA,7.0
Dodge D200,11.0,8,210,4382,13.5,1970,USA,8.0
Hi 1200D,9.0,8,193,4732,18.5,1970,USA,4.0
Datsun Pl510,27.0,4,88,2130,14.5,1971,Japan,7.0
Chevrolet Vega 2300,28.0,4,90,2264,15.5,1971,USA,0.0
Toyota Corona,25.0,4,95,2228,14.0,1971,Japan,3.0
Ford Pinto,25.0,4,NULL,2046,19.0,1971,USA,8.0
Volkswagen Super Beetle 117,NULL,4,48,1978,20.0,1971,Europe,7.0
Amc Gremlin,19.0,6,100,2634,13.0,1971,USA,2.0
Plymouth Satellite Custom,16.0,6,105,3439,15.5,1971,USA,5.0
Chevrolet Chevelle Malibu,17.0,6,100,3329,15.5,1971,USA,0.0
Ford Torino 500,19.0,6,88,3302,15.5,1971,USA,0.0
